SURVEY: SNLS3_LC
SNID: 03D3cc
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0118 MW E(B-V)
REDSHIFT_HELIO: 0.4627 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52781.322
FILTERS: griz

NOBS: 23
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   4963.52   4968.52 2.91440e-17 3.50800e-18 1
SPEC:   4968.52   4973.52 3.54150e-17 3.08800e-18 1
SPEC:   4973.52   4978.52 3.22890e-17 2.98200e-18 1
SPEC:   4978.52   4983.52 2.96480e-17 3.37500e-18 1
SPEC:   4983.52   4988.52 3.54910e-17 2.96200e-18 1
SPEC:   4988.52   4993.52 3.72880e-17 2.96200e-18 1
SPEC:   4993.52   4998.52 3.18930e-17 2.94000e-18 1
SPEC:   4998.53   5003.53 3.60690e-17 3.40200e-18 1
SPEC:   5003.53   5008.53 3.63650e-17 2.90300e-18 1
SPEC:   5008.53   5013.53 3.50850e-17 2.88300e-18 1
SPEC:   5013.53   5018.53 3.71870e-17 3.33400e-18 1
SPEC:   5018.53   5023.53 3.64540e-17 2.86400e-18 1
SPEC:   5023.53   5028.53 3.24900e-17 2.81300e-18 1
SPEC:   5028.53   5033.53 3.55960e-17 2.80900e-18 1
SPEC:   5033.53   5038.53 3.56410e-17 3.21300e-18 1
SPEC:   5038.53   5043.53 3.07400e-17 2.75300e-18 1
SPEC:   5043.53   5048.54 3.69870e-17 2.77700e-18 1
SPEC:   5048.54   5053.54 2.88530e-17 3.17100e-18 1
SPEC:   5053.54   5058.54 3.82320e-17 2.75200e-18 1
SPEC:   5058.54   5063.54 3.69770e-17 2.76100e-18 1
SPEC:   5063.54   5068.54 3.75080e-17 2.77200e-18 1
SPEC:   5068.54   5073.54 4.11350e-17 3.20100e-18 1
SPEC:   5073.54   5078.54 3.75300e-17 2.73000e-18 1
SPEC:   5078.54   5083.54 3.44820e-17 2.72900e-18 1
SPEC:   5083.54   5088.54 3.32840e-17 3.17100e-18 1
SPEC:   5088.54   5093.54 3.75040e-17 2.75100e-18 1
SPEC:   5093.54   5098.55 3.74760e-17 2.71000e-18 1
SPEC:   5098.55   5103.55 4.53270e-17 2.74000e-18 1
SPEC:   5103.55   5108.55 3.82400e-17 3.09300e-18 1
SPEC:   5108.55   5113.55 3.63930e-17 2.68000e-18 1
SPEC:   5113.55   5118.55 4.56120e-17 2.75200e-18 1
SPEC:   5118.55   5123.55 4.41920e-17 3.15600e-18 1
SPEC:   5123.55   5128.55 4.49730e-17 2.72900e-18 1
SPEC:   5128.55   5133.55 4.58970e-17 2.78600e-18 1
SPEC:   5133.55   5138.55 5.19160e-17 2.85900e-18 1
SPEC:   5138.55   5143.55 5.61950e-17 3.32100e-18 1
SPEC:   5143.55   5148.56 5.28850e-17 2.85200e-18 1
SPEC:   5148.56   5153.56 5.47790e-17 2.83500e-18 1
SPEC:   5153.56   5158.56 5.87750e-17 3.26600e-18 1
SPEC:   5158.56   5163.56 5.48410e-17 2.79400e-18 1
SPEC:   5163.56   5168.56 6.10360e-17 2.76000e-18 1
SPEC:   5168.56   5173.56 5.85310e-17 2.70600e-18 1
SPEC:   5173.56   5178.56 5.39480e-17 3.12800e-18 1
SPEC:   5178.56   5183.56 6.62740e-17 2.74100e-18 1
SPEC:   5183.56   5188.56 6.80760e-17 2.81400e-18 1
SPEC:   5188.56   5193.56 6.52040e-17 3.33900e-18 1
SPEC:   5193.57   5198.57 6.80390e-17 3.16300e-18 1
SPEC:   5198.57   5203.57 6.71440e-17 3.27500e-18 1
SPEC:   5203.57   5208.57 6.32900e-17 2.94000e-18 1
SPEC:   5208.57   5213.57 7.33410e-17 3.25100e-18 1
SPEC:   5213.57   5218.57 6.58290e-17 2.80000e-18 1
SPEC:   5218.57   5223.57 6.94480e-17 2.88400e-18 1
SPEC:   5223.57   5228.57 6.54170e-17 3.27500e-18 1
SPEC:   5228.57   5233.57 7.26920e-17 2.80400e-18 1
SPEC:   5233.57   5238.57 7.35980e-17 2.84700e-18 1
SPEC:   5238.57   5243.58 7.19000e-17 2.83000e-18 1
SPEC:   5243.58   5248.58 6.59980e-17 3.16000e-18 1
SPEC:   5248.58   5253.58 6.61300e-17 2.78500e-18 1
SPEC:   5253.58   5258.58 7.91250e-17 2.86000e-18 1
SPEC:   5258.58   5263.58 7.04270e-17 3.18300e-18 1
SPEC:   5263.58   5268.58 6.99860e-17 2.66500e-18 1
SPEC:   5268.58   5273.58 6.62710e-17 2.69900e-18 1
SPEC:   5273.58   5278.58 7.03900e-17 2.78100e-18 1
SPEC:   5278.58   5283.58 6.85550e-17 3.15100e-18 1
SPEC:   5283.58   5288.58 7.41870e-17 2.74500e-18 1
SPEC:   5288.58   5293.59 6.45280e-17 2.72400e-18 1
SPEC:   5293.59   5298.59 6.18280e-17 3.17400e-18 1
SPEC:   5298.59   5303.59 7.13860e-17 2.79200e-18 1
SPEC:   5303.59   5308.59 6.46970e-17 2.76500e-18 1
SPEC:   5308.59   5313.59 6.46400e-17 2.78800e-18 1
SPEC:   5313.59   5318.59 7.01500e-17 3.20700e-18 1
SPEC:   5318.59   5323.59 7.23840e-17 2.79300e-18 1
SPEC:   5323.59   5328.59 6.67350e-17 2.82900e-18 1
SPEC:   5328.59   5333.59 7.24490e-17 3.35100e-18 1
SPEC:   5333.59   5338.59 7.00080e-17 2.83300e-18 1
SPEC:   5338.59   5343.60 7.80630e-17 2.77300e-18 1
SPEC:   5343.60   5348.60 8.04160e-17 2.78200e-18 1
