SPEC:   4539.55   4545.25 4.95079e-16 2.69587e-17 1
SPEC:   4545.25   4550.95 5.24958e-16 2.68482e-17 1
SPEC:   4550.95   4556.65 4.39756e-16 2.66960e-17 1
SPEC:   4556.75   4562.45 4.71355e-16 2.65832e-17 1
SPEC:   4562.45   4568.15 4.57604e-16 2.63905e-17 1
SPEC:   4568.15   4573.85 4.79802e-16 2.61806e-17 1
SPEC:   4573.95   4579.65 4.67615e-16 2.60029e-17 1
SPEC:   4579.65   4585.35 5.12575e-16 2.57854e-17 1
SPEC:   4585.35   4591.05 4.96891e-16 2.55951e-17 1
SPEC:   4591.15   4596.85 4.82814e-16 2.53669e-17 1
SPEC:   4596.85   4602.55 5.21591e-16 2.50710e-17 1
SPEC:   4602.55   4608.25 5.14821e-16 2.48710e-17 1
SPEC:   4608.35   4614.05 5.13290e-16 2.46367e-17 1
SPEC:   4614.05   4619.75 4.76369e-16 2.43689e-17 1
SPEC:   4619.75   4625.45 5.47423e-16 2.41014e-17 1
SPEC:   4625.55   4631.25 4.74504e-16 2.38711e-17 1
SPEC:   4631.25   4636.95 4.74265e-16 2.35199e-17 1
SPEC:   4636.95   4642.65 5.10818e-16 2.32918e-17 1
SPEC:   4642.75   4648.45 5.01356e-16 2.30261e-17 1
SPEC:   4648.45   4654.15 4.86933e-16 2.28379e-17 1
SPEC:   4654.15   4659.85 4.99924e-16 2.26013e-17 1
SPEC:   4659.95   4665.65 5.28838e-16 2.24016e-17 1
SPEC:   4665.65   4671.35 5.56630e-16 2.21627e-17 1
SPEC:   4671.35   4677.05 5.60917e-16 2.19905e-17 1
SPEC:   4677.15   4682.85 5.78316e-16 2.17847e-17 1
SPEC:   4682.85   4688.55 5.74836e-16 2.16328e-17 1
SPEC:   4688.55   4694.25 5.65123e-16 2.14716e-17 1
SPEC:   4694.35   4700.05 5.67815e-16 2.13640e-17 1
SPEC:   4700.05   4705.75 6.01878e-16 2.12140e-17 1
SPEC:   4705.75   4711.45 6.03903e-16 2.11346e-17 1
SPEC:   4711.55   4717.25 6.08142e-16 2.10690e-17 1
SPEC:   4717.25   4722.95 6.45645e-16 2.09976e-17 1
SPEC:   4722.95   4728.65 6.43841e-16 2.09847e-17 1
SPEC:   4728.75   4734.45 6.71779e-16 2.09131e-17 1
SPEC:   4734.45   4740.15 6.17248e-16 2.09099e-17 1
SPEC:   4740.15   4745.85 6.16606e-16 2.08556e-17 1
SPEC:   4745.95   4751.65 6.17270e-16 2.08948e-17 1
SPEC:   4751.65   4757.35 6.14445e-16 2.08782e-17 1
SPEC:   4757.35   4763.05 6.26241e-16 2.08633e-17 1
SPEC:   4763.15   4768.85 6.35615e-16 2.08762e-17 1
SPEC:   4768.85   4774.55 5.77408e-16 2.09151e-17 1
SPEC:   4774.55   4780.25 5.93682e-16 2.08897e-17 1
SPEC:   4780.35   4786.05 6.18805e-16 2.08833e-17 1
SPEC:   4786.05   4791.75 6.04393e-16 2.08083e-17 1
SPEC:   4791.75   4797.45 6.04955e-16 2.07681e-17 1
SPEC:   4797.55   4803.25 5.82212e-16 2.07333e-17 1
SPEC:   4803.25   4808.95 5.79822e-16 2.06714e-17 1
SPEC:   4808.95   4814.65 6.15594e-16 2.05789e-17 1
SPEC:   4814.75   4820.45 6.02820e-16 2.04898e-17 1
SPEC:   4820.45   4826.15 6.11034e-16 2.03838e-17 1
SPEC:   4826.15   4831.85 6.02966e-16 2.02791e-17 1
SPEC:   4831.95   4837.65 5.74728e-16 2.01391e-17 1
