SURVEY: SDSS
SNID: 12843
IAUC: 2006fa
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 323.878086  deg
DECL: -0.980274  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 23
FAKE: 0   (=> data)
MWEBV: 0.0451    MW E(B-V)
MWEBV_ERR: 0.0075    error on MWEBV
NEPOCH_PRESN: 8   10   13   14   15   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.167253 +- 0.000068  (Helio, z_best)
OBS: 54039.144  i  NULL 59.3600000 48.9400000
OBS: 54039.144  z  NULL 146.6000000 135.7000000
OBS: 54039.144  u  NULL -88.4200000 106.7000000
OBS: 54041.144  g  NULL -5.6200000 59.1300000
OBS: 54041.144  r  NULL 95.4300000 74.1900000
OBS: 54041.144  i  NULL 91.5600000 77.7200000
OBS: 54041.144  z  NULL -84.9300000 176.7000000
OBS: 54041.144  u  NULL 25.0800000 162.9000000
OBS: 54048.137  g  NULL 32.0700000 36.2000000
OBS: 54048.137  r  NULL 38.1100000 37.7200000
OBS: 54048.137  i  NULL 67.6900000 51.3900000
OBS: 54048.137  z  NULL 102.2000000 154.5000000
OBS: 54048.137  u  NULL 84.3500000 74.7600000
OBS: 54051.129  g  NULL -9.0000000 -9.0000000
OBS: 54051.129  r  NULL 1339.0000000 9999.0000000
OBS: 54051.129  i  NULL -9.0000000 -9.0000000
OBS: 54051.129  z  NULL 467.6000000 9999.0000000
OBS: 54052.141  g  NULL 67.1700000 39.4600000
OBS: 54052.141  r  NULL 124.1000000 32.4700000
OBS: 54052.141  i  NULL 125.0000000 50.6800000
OBS: 54052.141  z  NULL -51.7200000 202.9000000
OBS: 54052.141  u  NULL -92.5200000 62.3400000
OBS: 54054.156  r  NULL 138.8000000 45.5200000
OBS: 54054.156  i  NULL -152.3000000 72.5600000
OBS: 54054.156  z  NULL 590.7000000 321.2000000
OBS: 54055.137  g  NULL 17.8000000 19.6400000
OBS: 54055.137  r  NULL 72.4700000 32.9400000
OBS: 54055.137  i  NULL 74.7400000 50.3500000
OBS: 54055.137  z  NULL -19.0100000 140.0000000
OBS: 54055.137  u  NULL -0.8900000 55.0900000
