SURVEY: Hicken2009_LC
SNID: sn2005eq
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.074 MW E(B-V)
REDSHIFT_HELIO: 0.028977 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53654.769
FILTERS: UBVRIfhjklabcde

NOBS: 0
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS:      53737.1     z      md      2104.75    42.0950    19.1920    0.0200000
OBS:      53741.1     z      md      1828.10    34.7339    19.3450    0.0190000
OBS:      53746.1     z      md      1645.89    51.0225    19.4590    0.0310000
OBS:      53751.1     z      md      1361.44    77.6023    19.6650    0.0570000
OBS:      53650.3     A      md      16368.2    130.945    16.9650    0.00800000
OBS:      53655.3     A      md      15388.6    138.498    17.0320    0.00900000
OBS:      53658.2     A      md      14282.4    142.824    17.1130    0.0100000
OBS:      53659.2     A      md      13778.4    165.341    17.1520    0.0120000
OBS:      53662.2     A      md      12519.9    137.719    17.2560    0.0110000
OBS:      53663.2     A      md      11428.8    148.574    17.3550    0.0130000
OBS:      53665.2     A      md      10270.7    143.790    17.4710    0.0140000
OBS:      53666.3     A      md      9444.96    132.229    17.5620    0.0140000
OBS:      53669.2     A      md      7994.66    79.9466    17.7430    0.0100000
OBS:      53671.3     A      md      7684.23    84.5265    17.7860    0.0110000
OBS:      53673.3     A      md      7648.92    107.085    17.7910    0.0140000
OBS:      53675.2     A      md      8068.63    129.098    17.7330    0.0160000
OBS:      53682.3     A      md      8637.74    267.770    17.6590    0.0310000
OBS:      53683.2     A      md      8879.74    124.316    17.6290    0.0140000
OBS:      53687.2     A      md      9120.10    145.922    17.6000    0.0160000
OBS:      53694.2     A      md      6631.33    112.733    17.9460    0.0170000
OBS:      53698.2     A      md      5536.05    71.9687    18.1420    0.0130000
OBS:      53699.2     A      md      4988.85    79.8216    18.2550    0.0160000
OBS:      53707.2     A      md      3657.64    117.044    18.5920    0.0320000
OBS:      53712.2     A      md      2945.78    58.9156    18.8270    0.0200000
OBS:      53721.1     A      md      2175.70    71.7983    19.1560    0.0330000
OBS:      53726.2     A      md      1841.62    64.4567    19.3370    0.0350000
OBS:      53730.2     A      md      1521.95    63.9218    19.5440    0.0420000
OBS:      53737.1     A      md      1422.98    61.1883    19.6170    0.0430000
OBS:      53741.1     A      md      1251.99    52.5834    19.7560    0.0420000
OBS:      53746.1     A      md      1032.76    59.9002    19.9650    0.0580000
OBS:      53751.1     A      md      927.256    69.5442    20.0820    0.0750000
END_PHOTOMETRY:
END:
