SURVEY:   PS1_LOWZ_COMBINED(CSP)
PHOTOMETRY_VERSION:  PS1_LOWZ_COMBINED(CSP)DR2
SNTYPE: 1
SNID:  2006bh
IAUC:  2006bh
IAUC:    UNKNOWN
RA:   340.067  deg
DECL:    -66.4851  deg
FILTERS:     abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # uBomngri -> tuvwxyzA
REDSHIFT_HELIO: 0.0107679826403 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0104218274355 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0104218274355 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.915 +- 0.352000
MWEBV:    0.0260000  MW E(B-V)
SEARCH_PEAKMJD: 53833.602
NOBS: 143
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      53862.3     A      md      38441.5    307.532    16.0380    0.00800000
OBS:      53866.3     A      md      29000.1    232.001    16.3440    0.00800000
OBS:      53867.3     A      md      27517.0    247.653    16.4010    0.00900000
OBS:      53870.3     A      md      23790.3    190.322    16.5590    0.00800000
OBS:      53871.3     A      md      22511.3    180.090    16.6190    0.00800000
OBS:      53872.3     A      md      21478.3    214.783    16.6700    0.0100000
OBS:      53886.3     A      md      12033.7    60.1686    17.2990    0.00500000
OBS:      53891.3     A      md      10092.5    131.203    17.4900    0.0130000
OBS:      53892.3     A      md      9754.38    48.7719    17.5270    0.00500000
OBS:      53893.3     A      md      9332.54    55.9952    17.5750    0.00600000
END: 
