SURVEY: Jha2006_LC
SNID: sn1997do
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Jha2006_LC
MWEBV: 0.063 MW E(B-V)
REDSHIFT_HELIO: 0.01012 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 50766.469
FILTERS: UBVRIfhjkl

NOBS: 31
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   3939.75   3941.25 3.93320e-15 1.22091e-16 1
SPEC:   3941.25   3942.75 3.84296e-15 1.22091e-16 1
SPEC:   3942.75   3944.25 3.82503e-15 1.22091e-16 1
SPEC:   3944.25   3945.75 3.94273e-15 1.22091e-16 1
SPEC:   3945.75   3947.25 3.88279e-15 1.22091e-16 1
SPEC:   3947.25   3948.75 3.89116e-15 1.22091e-16 1
SPEC:   3948.75   3950.25 3.85170e-15 1.22091e-16 1
SPEC:   3950.25   3951.75 3.81888e-15 1.22091e-16 1
SPEC:   3951.75   3953.25 3.78012e-15 1.22091e-16 1
SPEC:   3953.25   3954.75 3.78371e-15 1.22091e-16 1
SPEC:   3954.75   3956.25 3.92617e-15 1.22091e-16 1
SPEC:   3956.25   3957.75 3.93754e-15 1.22091e-16 1
SPEC:   3957.75   3959.25 3.89934e-15 1.22091e-16 1
SPEC:   3959.25   3960.75 3.90486e-15 1.22091e-16 1
SPEC:   3960.75   3962.25 3.79443e-15 1.22091e-16 1
SPEC:   3962.25   3963.75 3.64636e-15 1.22091e-16 1
SPEC:   3963.75   3965.25 3.61974e-15 1.22091e-16 1
SPEC:   3965.25   3966.75 3.53076e-15 1.22091e-16 1
SPEC:   3966.75   3968.25 3.46063e-15 1.22091e-16 1
SPEC:   3968.25   3969.75 3.45745e-15 1.22091e-16 1
SPEC:   3969.75   3971.25 3.50766e-15 1.22091e-16 1
SPEC:   3971.25   3972.75 3.41980e-15 1.22091e-16 1
SPEC:   3972.75   3974.25 3.47346e-15 1.22091e-16 1
SPEC:   3974.25   3975.75 3.69978e-15 1.22091e-16 1
SPEC:   3975.75   3977.25 3.75725e-15 1.22091e-16 1
SPEC:   3977.25   3978.75 3.65504e-15 1.22091e-16 1
SPEC:   3978.75   3980.25 3.56714e-15 1.22091e-16 1
SPEC:   3980.25   3981.75 3.55156e-15 1.22091e-16 1
SPEC:   3981.75   3983.25 3.59187e-15 1.22091e-16 1
SPEC:   3983.25   3984.75 3.49549e-15 1.22091e-16 1
SPEC:   3984.75   3986.25 3.69738e-15 1.22091e-16 1
SPEC:   3986.25   3987.75 3.77105e-15 1.22091e-16 1
SPEC:   3987.75   3989.25 3.61283e-15 1.22091e-16 1
SPEC:   3989.25   3990.75 3.59823e-15 1.22091e-16 1
SPEC:   3990.75   3992.25 3.74938e-15 1.22091e-16 1
SPEC:   3992.25   3993.75 3.83765e-15 1.22091e-16 1
SPEC:   3993.75   3995.25 3.66511e-15 1.22091e-16 1
SPEC:   3995.25   3996.75 3.79015e-15 1.22091e-16 1
SPEC:   3996.75   3998.25 3.78943e-15 1.22091e-16 1
SPEC:   3998.25   3999.75 3.71090e-15 1.22091e-16 1
SPEC:   3999.75   4001.25 3.67358e-15 1.22091e-16 1
SPEC:   4001.25   4002.75 3.68262e-15 1.22091e-16 1
SPEC:   4002.75   4004.25 3.77147e-15 1.22091e-16 1
SPEC:   4004.25   4005.75 3.64188e-15 1.22091e-16 1
SPEC:   4005.75   4007.25 3.56450e-15 1.22091e-16 1
SPEC:   4007.25   4008.75 3.58242e-15 1.22091e-16 1
SPEC:   4008.75   4010.25 3.83327e-15 1.22091e-16 1
SPEC:   4010.25   4011.75 3.81371e-15 1.22091e-16 1
SPEC:   4011.75   4013.25 3.82373e-15 1.22091e-16 1
SPEC:   4013.25   4014.75 3.82337e-15 1.22091e-16 1
SPEC:   4014.75   4016.25 3.83720e-15 1.22091e-16 1
SPEC:   4016.25   4017.75 3.87431e-15 1.22091e-16 1
SPEC:   4017.75   4019.25 3.92279e-15 1.22091e-16 1
SPEC:   4019.25   4020.75 3.87345e-15 1.16549e-16 1
SPEC:   4020.75   4022.25 3.95651e-15 1.16549e-16 1
SPEC:   4022.25   4023.75 3.99911e-15 1.16549e-16 1
SPEC:   4023.75   4025.25 4.02534e-15 1.16549e-16 1
SPEC:   4025.25   4026.75 4.04841e-15 1.16549e-16 1
SPEC:   4026.75   4028.25 4.01046e-15 1.16549e-16 1
SPEC:   4028.25   4029.75 3.95659e-15 1.16549e-16 1
SPEC:   4029.75   4031.25 3.97054e-15 1.16549e-16 1
SPEC:   4031.25   4032.75 4.06458e-15 1.16549e-16 1
SPEC:   4032.75   4034.25 4.17633e-15 1.16549e-16 1
SPEC:   4034.25   4035.75 4.07917e-15 1.16549e-16 1
SPEC:   4035.75   4037.25 3.97203e-15 1.16549e-16 1
SPEC:   4037.25   4038.75 3.94497e-15 1.16549e-16 1
SPEC:   4038.75   4040.25 3.94097e-15 1.16549e-16 1
SPEC:   4040.25   4041.75 4.08732e-15 1.16549e-16 1
SPEC:   4041.75   4043.25 4.01814e-15 1.16549e-16 1
SPEC:   4043.25   4044.75 3.93155e-15 1.16549e-16 1
SPEC:   4044.75   4046.25 4.06850e-15 1.16549e-16 1
SPEC:   4046.25   4047.75 4.25106e-15 1.16549e-16 1
SPEC:   4047.75   4049.25 4.25524e-15 1.16549e-16 1
SPEC:   4049.25   4050.75 4.19541e-15 1.16549e-16 1
SPEC:   4050.75   4052.25 4.57020e-15 1.16549e-16 1
SPEC:   4052.25   4053.75 4.47966e-15 1.16549e-16 1
SPEC:   4053.75   4055.25 4.29235e-15 1.16549e-16 1
SPEC:   4055.25   4056.75 4.33353e-15 1.16549e-16 1
SPEC:   4056.75   4058.25 4.27917e-15 1.16549e-16 1
SPEC:   4058.25   4059.75 4.34548e-15 1.16549e-16 1
SPEC:   4059.75   4061.25 4.33126e-15 1.16549e-16 1
SPEC:   4061.25   4062.75 4.36668e-15 1.16549e-16 1
SPEC:   4062.75   4064.25 4.48391e-15 1.16549e-16 1
SPEC:   4064.25   4065.75 4.59889e-15 1.16549e-16 1
SPEC:   4065.75   4067.25 4.27299e-15 1.16549e-16 1
SPEC:   4067.25   4068.75 4.32978e-15 1.16549e-16 1
SPEC:   4068.75   4070.25 4.13198e-15 1.16549e-16 1
SPEC:   4070.25   4071.75 4.27031e-15 1.16549e-16 1
SPEC:   4071.75   4073.25 4.38797e-15 1.16549e-16 1
SPEC:   4073.25   4074.75 4.36560e-15 1.16549e-16 1
SPEC:   4074.75   4076.25 4.33009e-15 1.16549e-16 1
SPEC:   4076.25   4077.75 4.15631e-15 1.16549e-16 1
SPEC:   4077.75   4079.25 4.34245e-15 1.16549e-16 1
SPEC:   4079.25   4080.75 4.27753e-15 1.16549e-16 1
SPEC:   4080.75   4082.25 4.34089e-15 1.16549e-16 1
SPEC:   4082.25   4083.75 4.40732e-15 1.16549e-16 1
SPEC:   4083.75   4085.25 4.33931e-15 1.16549e-16 1
SPEC:   4085.25   4086.75 4.20861e-15 1.16549e-16 1
SPEC:   4086.75   4088.25 4.19101e-15 1.16549e-16 1
SPEC:   4088.25   4089.75 4.04523e-15 1.16549e-16 1
SPEC:   4089.75   4091.25 4.25444e-15 1.16549e-16 1
SPEC:   4091.25   4092.75 4.38091e-15 1.16549e-16 1
SPEC:   4092.75   4094.25 4.23992e-15 1.16549e-16 1
SPEC:   4094.25   4095.75 4.26661e-15 1.16549e-16 1
SPEC:   4095.75   4097.25 4.33895e-15 1.16549e-16 1
SPEC:   4097.25   4098.75 4.25987e-15 1.16549e-16 1
SPEC:   4098.75   4100.25 4.12174e-15 1.16549e-16 1
SPEC:   4100.25   4101.75 4.03949e-15 1.16549e-16 1
SPEC:   4101.75   4103.25 4.02366e-15 1.16549e-16 1
SPEC:   4103.25   4104.75 4.03001e-15 1.16549e-16 1
SPEC:   4104.75   4106.25 4.00832e-15 1.16549e-16 1
SPEC:   4106.25   4107.75 3.96863e-15 1.16549e-16 1
SPEC:   4107.75   4109.25 3.88152e-15 1.16549e-16 1
SPEC:   4109.25   4110.75 3.99446e-15 1.16549e-16 1
SPEC:   4110.75   4112.25 4.12953e-15 1.16549e-16 1
SPEC:   4112.25   4113.75 4.03650e-15 1.16549e-16 1
SPEC:   4113.75   4115.25 3.89709e-15 1.16549e-16 1
SPEC:   4115.25   4116.75 3.90725e-15 1.16549e-16 1
SPEC:   4116.75   4118.25 4.05604e-15 1.16549e-16 1
SPEC:   4118.25   4119.75 4.10148e-15 1.16549e-16 1
SPEC:   4119.75   4121.25 4.10222e-15 1.02943e-16 1
SPEC:   4121.25   4122.75 4.11558e-15 1.02943e-16 1
SPEC:   4122.75   4124.25 4.01125e-15 1.02943e-16 1
SPEC:   4124.25   4125.75 3.88360e-15 1.02943e-16 1
SPEC:   4125.75   4127.25 3.93042e-15 1.02943e-16 1
SPEC:   4127.25   4128.75 3.81277e-15 1.02943e-16 1
SPEC:   4128.75   4130.25 3.77877e-15 1.02943e-16 1
SPEC:   4130.25   4131.75 3.88460e-15 1.02943e-16 1
SPEC:   4131.75   4133.25 3.77388e-15 1.02943e-16 1
SPEC:   4133.25   4134.75 3.71074e-15 1.02943e-16 1
SPEC:   4134.75   4136.25 3.71464e-15 1.02943e-16 1
SPEC:   4136.25   4137.75 3.81106e-15 1.02943e-16 1
SPEC:   4137.75   4139.25 3.79784e-15 1.02943e-16 1
SPEC:   4139.25   4140.75 3.85793e-15 1.02943e-16 1
SPEC:   4140.75   4142.25 3.79547e-15 1.02943e-16 1
SPEC:   4142.25   4143.75 3.53027e-15 1.02943e-16 1
SPEC:   4143.75   4145.25 3.68416e-15 1.02943e-16 1
SPEC:   4145.25   4146.75 3.65302e-15 1.02943e-16 1
SPEC:   4146.75   4148.25 3.51146e-15 1.02943e-16 1
SPEC:   4148.25   4149.75 3.66259e-15 1.02943e-16 1
SPEC:   4149.75   4151.25 3.64013e-15 1.02943e-16 1
SPEC:   4151.25   4152.75 3.86079e-15 1.02943e-16 1
SPEC:   4152.75   4154.25 3.90187e-15 1.02943e-16 1
SPEC:   4154.25   4155.75 3.68917e-15 1.02943e-16 1
SPEC:   4155.75   4157.25 3.80693e-15 1.02943e-16 1
SPEC:   4157.25   4158.75 3.65736e-15 1.02943e-16 1
SPEC:   4158.75   4160.25 3.61426e-15 1.02943e-16 1
SPEC:   4160.25   4161.75 3.64394e-15 1.02943e-16 1
SPEC:   4161.75   4163.25 3.45113e-15 1.02943e-16 1
SPEC:   4163.25   4164.75 3.42352e-15 1.02943e-16 1
SPEC:   4164.75   4166.25 3.46987e-15 1.02943e-16 1
SPEC:   4166.25   4167.75 3.57649e-15 1.02943e-16 1
SPEC:   4167.75   4169.25 3.49924e-15 1.02943e-16 1
SPEC:   4169.25   4170.75 3.46964e-15 1.02943e-16 1
SPEC:   4170.75   4172.25 3.59193e-15 1.02943e-16 1
SPEC:   4172.25   4173.75 3.57028e-15 1.02943e-16 1
SPEC:   4173.75   4175.25 3.39614e-15 1.02943e-16 1
SPEC:   4175.25   4176.75 3.36222e-15 1.02943e-16 1
SPEC:   4176.75   4178.25 3.38542e-15 1.02943e-16 1
SPEC:   4178.25   4179.75 3.49324e-15 1.02943e-16 1
SPEC:   4179.75   4181.25 3.42405e-15 1.02943e-16 1
SPEC:   4181.25   4182.75 3.30931e-15 1.02943e-16 1
SPEC:   4182.75   4184.25 3.21057e-15 1.02943e-16 1
SPEC:   4184.25   4185.75 3.15975e-15 1.02943e-16 1
SPEC:   4185.75   4187.25 3.20552e-15 1.02943e-16 1
SPEC:   4187.25   4188.75 3.15334e-15 1.02943e-16 1
SPEC:   4188.75   4190.25 3.08113e-15 1.02943e-16 1
SPEC:   4190.25   4191.75 3.16111e-15 1.02943e-16 1
SPEC:   4191.75   4193.25 3.11295e-15 1.02943e-16 1
SPEC:   4193.25   4194.75 3.02430e-15 1.02943e-16 1
SPEC:   4194.75   4196.25 3.06143e-15 1.02943e-16 1
SPEC:   4196.25   4197.75 2.96566e-15 1.02943e-16 1
SPEC:   4197.75   4199.25 2.90719e-15 1.02943e-16 1
SPEC:   4199.25   4200.75 2.99497e-15 1.02943e-16 1
SPEC:   4200.75   4202.25 2.92178e-15 1.02943e-16 1
SPEC:   4202.25   4203.75 2.82497e-15 1.02943e-16 1
SPEC:   4203.75   4205.25 2.72543e-15 1.02943e-16 1
SPEC:   4205.25   4206.75 2.73915e-15 1.02943e-16 1
SPEC:   4206.75   4208.25 2.80516e-15 1.02943e-16 1
SPEC:   4208.25   4209.75 2.72325e-15 1.02943e-16 1
SPEC:   4209.75   4211.25 2.55436e-15 1.02943e-16 1
SPEC:   4211.25   4212.75 2.50832e-15 1.02943e-16 1
SPEC:   4212.75   4214.25 2.49553e-15 1.02943e-16 1
SPEC:   4214.25   4215.75 2.49352e-15 1.02943e-16 1
SPEC:   4215.75   4217.25 2.60722e-15 1.02943e-16 1
SPEC:   4217.25   4218.75 2.55239e-15 1.02943e-16 1
SPEC:   4218.75   4220.25 2.46393e-15 1.02943e-16 1
SPEC:   4220.25   4221.75 2.55327e-15 7.74230e-17 1
SPEC:   4221.75   4223.25 2.55290e-15 7.74230e-17 1
