SPEC:   4796.55   4802.05 1.41316e-15 1.70136e-17 1
SPEC:   4802.15   4807.65 1.41069e-15 1.70050e-17 1
SPEC:   4807.65   4813.15 1.39007e-15 1.69517e-17 1
SPEC:   4813.15   4818.65 1.39815e-15 1.69966e-17 1
SPEC:   4818.65   4824.15 1.41405e-15 1.70139e-17 1
SPEC:   4824.15   4829.65 1.36073e-15 1.69921e-17 1
SPEC:   4829.65   4835.15 1.34064e-15 1.70007e-17 1
SPEC:   4835.25   4840.75 1.27286e-15 1.70118e-17 1
SPEC:   4840.75   4846.25 1.28302e-15 1.69826e-17 1
SPEC:   4846.25   4851.75 1.27253e-15 1.70619e-17 1
SPEC:   4851.75   4857.25 1.23731e-15 1.70214e-17 1
SPEC:   4857.25   4862.75 1.28646e-15 1.70947e-17 1
SPEC:   4862.85   4868.35 1.26558e-15 1.71017e-17 1
SPEC:   4868.35   4873.85 1.29603e-15 1.71086e-17 1
SPEC:   4873.85   4879.35 1.28988e-15 1.71664e-17 1
SPEC:   4879.35   4884.85 1.31627e-15 1.71746e-17 1
SPEC:   4884.85   4890.35 1.29997e-15 1.72061e-17 1
SPEC:   4890.35   4895.85 1.33465e-15 1.72543e-17 1
SPEC:   4895.85   4901.35 1.30049e-15 1.72681e-17 1
SPEC:   4901.45   4906.95 1.29081e-15 1.73039e-17 1
SPEC:   4906.95   4912.45 1.27655e-15 1.72345e-17 1
SPEC:   4912.45   4917.95 1.29151e-15 1.75118e-17 1
SPEC:   4917.95   4923.45 1.24063e-15 1.73123e-17 1
SPEC:   4923.45   4928.95 1.16983e-15 1.72975e-17 1
SPEC:   4929.05   4934.55 1.15435e-15 1.73031e-17 1
SPEC:   4934.55   4940.05 1.14536e-15 1.73461e-17 1
SPEC:   4940.05   4945.55 1.07454e-15 1.72852e-17 1
SPEC:   4945.55   4951.05 1.07529e-15 1.72898e-17 1
SPEC:   4951.05   4956.55 1.03563e-15 1.73343e-17 1
SPEC:   4956.65   4962.15 1.00899e-15 1.72747e-17 1
SPEC:   4962.15   4967.65 1.00043e-15 1.72713e-17 1
SPEC:   4967.65   4973.15 9.77252e-16 1.72469e-17 1
SPEC:   4973.15   4978.65 9.50328e-16 1.71926e-17 1
SPEC:   4978.65   4984.15 1.00132e-15 1.71393e-17 1
SPEC:   4984.15   4989.65 9.95878e-16 1.71562e-17 1
SPEC:   4989.75   4995.25 1.01036e-15 1.74649e-17 1
SPEC:   4995.25   5000.75 1.03073e-15 1.71928e-17 1
SPEC:   5000.75   5006.25 1.03639e-15 1.69610e-17 1
SPEC:   5006.25   5011.75 1.03411e-15 1.69622e-17 1
SPEC:   5011.75   5017.25 1.04420e-15 1.68456e-17 1
SPEC:   5017.35   5022.85 1.02409e-15 1.67978e-17 1
SPEC:   5022.85   5028.35 1.10436e-15 1.66990e-17 1
SPEC:   5028.35   5033.85 1.03509e-15 1.66237e-17 1
SPEC:   5033.85   5039.35 1.06282e-15 1.65379e-17 1
SPEC:   5039.35   5044.85 1.05321e-15 1.63587e-17 1
SPEC:   5044.85   5050.35 1.04268e-15 1.63054e-17 1
SPEC:   5050.45   5055.95 1.05100e-15 1.62253e-17 1
SPEC:   5055.95   5061.45 1.02775e-15 1.60920e-17 1
SPEC:   5061.45   5066.95 1.06334e-15 1.60545e-17 1
SPEC:   5066.95   5072.45 1.01534e-15 1.58391e-17 1
SPEC:   5072.45   5077.95 1.03718e-15 1.56480e-17 1
SPEC:   5078.05   5083.55 1.03113e-15 1.55150e-17 1
SPEC:   5083.55   5089.05 1.06489e-15 1.54056e-17 1
SPEC:   5089.05   5094.55 1.06164e-15 1.53059e-17 1
SPEC:   5094.55   5100.05 1.02971e-15 1.51179e-17 1
SPEC:   5100.05   5105.55 1.06901e-15 1.50306e-17 1
SPEC:   5105.55   5111.05 1.08982e-15 1.48929e-17 1
SPEC:   5111.15   5116.65 1.10461e-15 1.47915e-17 1
SPEC:   5116.65   5122.15 1.13503e-15 1.46800e-17 1
SPEC:   5122.15   5127.65 1.14907e-15 1.45358e-17 1
SPEC:   5127.65   5133.15 1.16579e-15 1.44496e-17 1
SPEC:   5133.15   5138.65 1.19769e-15 1.43818e-17 1
SPEC:   5138.65   5144.15 1.18623e-15 1.42817e-17 1
SPEC:   5144.25   5149.75 1.20552e-15 1.42320e-17 1
SPEC:   5149.75   5155.25 1.25381e-15 1.42118e-17 1
SPEC:   5155.25   5160.75 1.29302e-15 1.41098e-17 1
SPEC:   5160.75   5166.25 1.29374e-15 1.41079e-17 1
SPEC:   5166.25   5171.75 1.33149e-15 1.40494e-17 1
SPEC:   5171.85   5177.35 1.33165e-15 1.40821e-17 1
SPEC:   5177.35   5182.85 1.34892e-15 1.41001e-17 1
SPEC:   5182.85   5188.35 1.35654e-15 1.41323e-17 1
SPEC:   5188.35   5193.85 1.37058e-15 1.42043e-17 1
SPEC:   5193.85   5199.35 1.41300e-15 1.49019e-17 1
SPEC:   5199.35   5204.85 1.43462e-15 1.47202e-17 1
SPEC:   5204.95   5210.45 1.46950e-15 1.44432e-17 1
SPEC:   5210.45   5215.95 1.48140e-15 1.45498e-17 1
SPEC:   5215.95   5221.45 1.47923e-15 1.47172e-17 1
SPEC:   5221.45   5226.95 1.49109e-15 1.48160e-17 1
SPEC:   5226.95   5232.45 1.48828e-15 1.48823e-17 1
SPEC:   5232.45   5237.95 1.46241e-15 1.50980e-17 1
SPEC:   5238.05   5243.55 1.45428e-15 1.53229e-17 1
SPEC:   5243.55   5249.05 1.43122e-15 1.54194e-17 1
SPEC:   5249.05   5254.55 1.39004e-15 1.56150e-17 1
SPEC:   5254.55   5260.05 1.39647e-15 1.58778e-17 1
SPEC:   5260.05   5265.55 1.37420e-15 1.59853e-17 1
SPEC:   5265.65   5271.15 1.38525e-15 1.61550e-17 1
SPEC:   5271.15   5276.65 1.41806e-15 1.64283e-17 1
SPEC:   5276.65   5282.15 1.42184e-15 1.65950e-17 1
SPEC:   5282.15   5287.65 1.42635e-15 1.67962e-17 1
