SPEC:   4343.15   4348.65 6.82171e-16 6.99396e-18 1
SPEC:   4348.65   4354.15 6.54966e-16 6.89703e-18 1
SPEC:   4354.15   4359.65 6.49767e-16 6.83686e-18 1
SPEC:   4359.65   4365.15 6.20777e-16 6.77163e-18 1
SPEC:   4365.15   4370.65 6.03830e-16 6.70279e-18 1
SPEC:   4370.65   4376.15 5.99922e-16 6.60935e-18 1
SPEC:   4376.25   4381.75 5.85095e-16 6.51775e-18 1
SPEC:   4381.75   4387.25 5.80060e-16 6.42516e-18 1
SPEC:   4387.25   4392.75 5.69569e-16 6.39658e-18 1
SPEC:   4392.75   4398.25 5.60850e-16 6.32812e-18 1
SPEC:   4398.25   4403.75 5.44562e-16 6.30442e-18 1
SPEC:   4403.85   4409.35 5.39645e-16 6.28472e-18 1
SPEC:   4409.35   4414.85 5.26987e-16 6.27926e-18 1
SPEC:   4414.85   4420.35 5.25442e-16 6.23651e-18 1
SPEC:   4420.35   4425.85 5.20076e-16 6.21060e-18 1
SPEC:   4425.85   4431.35 5.14537e-16 6.16679e-18 1
SPEC:   4431.35   4436.85 5.08552e-16 6.12875e-18 1
SPEC:   4436.95   4442.45 4.86161e-16 6.13698e-18 1
SPEC:   4442.45   4447.95 4.94650e-16 6.11041e-18 1
SPEC:   4447.95   4453.45 4.60973e-16 6.10215e-18 1
SPEC:   4453.45   4458.95 4.78605e-16 6.07041e-18 1
SPEC:   4458.95   4464.45 4.65388e-16 6.07031e-18 1
SPEC:   4464.55   4470.05 4.71460e-16 6.07302e-18 1
SPEC:   4470.05   4475.55 4.78005e-16 6.09453e-18 1
SPEC:   4475.55   4481.05 4.79080e-16 6.08692e-18 1
SPEC:   4481.05   4486.55 4.83955e-16 6.07240e-18 1
SPEC:   4486.55   4492.05 4.97758e-16 6.07046e-18 1
SPEC:   4492.15   4497.65 5.06337e-16 6.07794e-18 1
SPEC:   4497.65   4503.15 5.13103e-16 6.07510e-18 1
SPEC:   4503.15   4508.65 5.13282e-16 6.08378e-18 1
SPEC:   4508.65   4514.15 5.26080e-16 6.07084e-18 1
SPEC:   4514.15   4519.65 5.46249e-16 6.07144e-18 1
SPEC:   4519.65   4525.15 5.42475e-16 6.08262e-18 1
SPEC:   4525.15   4530.65 5.59931e-16 6.08148e-18 1
SPEC:   4530.75   4536.25 5.70506e-16 6.08095e-18 1
SPEC:   4536.25   4541.75 5.90541e-16 6.10193e-18 1
SPEC:   4541.75   4547.25 5.85575e-16 6.11991e-18 1
