SPEC: 5159.00 5167.20 1.60493e-16 4.52941e-18 1
SPEC: 5167.20 5175.40 1.59228e-16 4.47300e-18 1
SPEC: 5175.40 5183.60 1.66142e-16 4.44290e-18 1
SPEC: 5183.60 5191.80 1.62618e-16 4.41012e-18 1
SPEC: 5191.90 5200.10 1.62503e-16 4.52304e-18 1
SPEC: 5200.10 5208.30 1.71482e-16 4.35970e-18 1
SPEC: 5208.30 5216.50 1.64183e-16 4.29763e-18 1
SPEC: 5216.60 5224.80 1.71481e-16 4.29046e-18 1
SPEC: 5224.80 5233.00 1.60863e-16 4.23358e-18 1
SPEC: 5233.00 5241.20 1.53968e-16 4.26001e-18 1
SPEC: 5241.30 5249.50 1.55115e-16 4.21846e-18 1
SPEC: 5249.50 5257.70 1.50582e-16 4.23434e-18 1
SPEC: 5257.70 5265.90 1.44151e-16 4.22618e-18 1
SPEC: 5265.90 5274.10 1.44047e-16 4.21428e-18 1
SPEC: 5274.20 5282.40 1.34530e-16 4.23640e-18 1
SPEC: 5282.40 5290.60 1.39292e-16 4.23787e-18 1
SPEC: 5290.60 5298.80 1.32925e-16 4.25111e-18 1
SPEC: 5298.80 5307.00 1.29935e-16 4.28775e-18 1
SPEC: 5307.10 5315.30 1.39215e-16 4.29781e-18 1
SPEC: 5315.30 5323.50 1.40737e-16 4.30837e-18 1
SPEC: 5323.50 5331.70 1.42914e-16 4.31213e-18 1
SPEC: 5331.80 5340.00 1.35916e-16 4.34293e-18 1
SPEC: 5340.00 5348.20 1.33693e-16 4.35339e-18 1
SPEC: 5348.20 5356.40 1.34763e-16 4.38608e-18 1
SPEC: 5356.50 5364.70 1.38544e-16 4.39558e-18 1
SPEC: 5364.70 5372.90 1.41013e-16 4.41920e-18 1
SPEC: 5372.90 5381.10 1.42303e-16 4.44161e-18 1
SPEC: 5381.10 5389.30 1.35784e-16 4.46655e-18 1
SPEC: 5389.40 5397.60 1.28790e-16 4.48535e-18 1
SPEC: 5397.60 5405.80 1.41239e-16 4.52609e-18 1
SPEC: 5405.80 5414.00 1.32527e-16 4.56584e-18 1
SPEC: 5414.00 5422.20 1.41414e-16 4.62553e-18 1
SPEC: 5422.30 5430.50 1.40162e-16 4.67946e-18 1
SPEC: 5430.50 5438.70 1.40763e-16 4.74269e-18 1
SPEC: 5438.70 5446.90 1.49514e-16 4.82310e-18 1
SPEC: 5447.00 5455.20 1.46010e-16 4.91659e-18 1
SPEC: 5455.20 5463.40 1.52946e-16 5.01112e-18 1
SPEC: 5463.40 5471.60 1.56908e-16 5.11395e-18 1
SPEC: 5471.70 5479.90 1.55512e-16 5.23403e-18 1
SPEC: 5479.90 5488.10 1.51284e-16 5.36227e-18 1
SPEC: 5488.10 5496.30 1.55776e-16 5.49650e-18 1
SPEC: 5496.30 5504.50 1.60650e-16 5.63851e-18 1
SPEC: 5504.60 5512.80 1.61890e-16 5.77761e-18 1
SPEC: 5512.80 5521.00 1.67863e-16 5.91538e-18 1
SPEC: 5521.00 5529.20 1.61655e-16 6.05251e-18 1
SPEC: 5529.30 5537.50 1.64506e-16 6.17927e-18 1
SPEC: 5537.50 5545.70 1.67364e-16 6.32250e-18 1
SPEC: 5545.70 5553.90 1.92542e-16 6.42820e-18 1
SPEC: 5553.90 5562.10 1.57408e-16 6.53188e-18 1
SPEC: 5562.20 5570.40 1.68770e-16 6.67003e-18 1
